URL,Size(Byte),Number of outlinks found,Content-type
https://www.latimes.com/about/shortdocs/nasir-123,257605,189,text/html
https://www.latimes.com/shortdocs/0000018b-ee31-df7f-abfb-ff3794e70001-123,258720,189,text/html
https://www.latimes.com/shortdocs/split-jury-123,259311,189,text/html
https://www.latimes.com/about/shortdocs/the-beauty-president-123,303707,203,text/html
https://www.latimes.com/shortdocs/merman-123,307277,204,text/html
https://www.latimes.com/about/short-docs/lwe-are-like-waves-123,307859,204,text/html
https://www.latimes.com/about/shortdocs/sentinels-123,308153,204,text/html
https://www.latimes.com/about/shortdocs/la-times-short-docs-ibach-123,307411,204,text/html
https://www.latimes.com/shortdocs/0000018b-d4f9-d806-abcb-dcfdba210000-123,257982,189,text/html
https://www.latimes.com/about/shortdocs/kylie-123,307267,204,text/html
https://www.latimes.com/shortdocs/visible-invisible-123,258307,189,text/html
https://www.latimes.com/shortdocs/0000018b-495a-d518-a9ab-db7f6fb70000-123,258449,189,text/html
https://www.latimes.com/about/short-docs/victor-and-isolina-123,308633,205,text/html
https://www.latimes.com/shortdocs/story/2022-01-05/short-docs-submission-form,272900,200,text/html
https://www.latimes.com/about/shortdocs/washed-ashore-123,307437,204,text/html
https://www.latimes.com/about/short-docs/what-theyve-been-taught-123,309582,204,text/html
https://www.latimes.com/world-nation/story/2024-02-04/el-salvador-holds-election-that-self-described-worlds-coolest-dictator-has-path-to-win,351659,220,text/html
https://www.latimes.com/world-nation/story/2023-12-07/former-peruvian-president-alberto-fujimori-freed-from-prison,344655,228,text/html
https://www.latimes.com/archives/la-xpm-2010-mar-05-la-fg-chile-pinera5-2010mar05-story.html,311658,211,text/html
https://www.latimes.com/world-nation/story/2024-02-06/the-death-toll-from-chiles-wildfires-reaches-131-and-more-than-300-people-are-missing,319027,214,text/html
https://www.latimes.com/california/story/2024-01-06/covid-19-intensifies-across-california-with-the-worst-likely-still-to-come,378831,243,text/html
https://www.latimes.com/opinion/story/2024-01-22/california-covid-oakland-schools-rules,347196,222,text/html
https://www.latimes.com/california/story/2023-12-23/why-the-new-coronavirus-strain-jn-1-may-be-behind-californias-covid-uptick,411744,258,text/html
https://www.latimes.com/science/story/2023-10-02/kariko-weissman-mrna-covid-vaccine-nobel-prize,377714,261,text/html
